               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 124,            0.019099,             0.01955,          0.00098315,             0.98104,                   1,             0.98958,             0.82766,            0.011924,           0.0063961,          0.00040214,           0.0079705,           0.0079705,           0.0079705
                 125,            0.019296,            0.019407,          0.00092636,             0.98125,                   1,              0.9942,             0.80192,            0.011679,           0.0070222,          0.00044382,            0.007954,            0.007954,            0.007954
                 126,            0.019101,            0.019574,          0.00098835,             0.98938,                   1,             0.99437,             0.82221,            0.012544,           0.0076918,          0.00038012,           0.0079375,           0.0079375,           0.0079375
                 127,            0.019079,            0.018981,          0.00098893,             0.98145,                   1,             0.98666,             0.79174,             0.01238,           0.0069093,          0.00032086,            0.007921,            0.007921,            0.007921
                 128,            0.019465,            0.019162,          0.00097573,              0.9813,                   1,             0.98838,             0.82026,            0.011468,           0.0070323,          0.00038621,           0.0079045,           0.0079045,           0.0079045
                 129,            0.019417,            0.018944,           0.0009853,             0.98111,                   1,              0.9896,             0.84463,            0.011343,           0.0068731,          0.00042059,            0.007888,            0.007888,            0.007888
                 130,            0.018727,              0.0185,          0.00097826,             0.98116,                   1,              0.9892,             0.84026,            0.011559,           0.0070771,          0.00033166,           0.0078715,           0.0078715,           0.0078715
                 131,            0.019058,            0.018374,          0.00090846,             0.98224,                   1,             0.99174,             0.85097,            0.011254,           0.0069094,          0.00031552,            0.007855,            0.007855,            0.007855
                 132,            0.019553,            0.018503,          0.00096376,             0.98363,                   1,             0.99266,             0.84252,            0.011264,            0.006291,           0.0004262,           0.0078385,           0.0078385,           0.0078385
                 133,            0.018537,             0.01909,            0.001012,             0.88883,             0.51299,             0.61487,             0.27331,            0.072001,             0.01858,            0.023944,            0.007822,            0.007822,            0.007822
                 134,            0.018903,            0.019554,           0.0010194,             0.98504,                   1,             0.99315,             0.85143,            0.011438,           0.0064892,           0.0003402,           0.0078055,           0.0078055,           0.0078055
                 135,            0.019207,            0.018667,          0.00096755,             0.98095,                   1,             0.98709,             0.80929,            0.011704,           0.0064002,          0.00030537,            0.007789,            0.007789,            0.007789
                 136,            0.019223,            0.019286,           0.0010618,              0.9954,                   1,               0.995,             0.84594,            0.011735,           0.0062416,          0.00039277,           0.0077725,           0.0077725,           0.0077725
                 137,            0.018513,            0.018845,          0.00096394,             0.99742,             0.99965,               0.995,             0.82443,            0.012316,           0.0062711,           0.0004009,            0.007756,            0.007756,            0.007756
                 138,            0.019398,            0.019014,           0.0010907,             0.99406,             0.98897,               0.995,             0.78671,            0.017452,           0.0083777,          0.00051808,           0.0077395,           0.0077395,           0.0077395
